Agust�n;39;San Lorenzo;Soltero;Terciario
Anibal;22;Velez;Casado;Universitario
Nicol�s;24;Hurac�n;Soltero;Secundario
Mariano;44;Velez;Soltero;Terciario
Juan;43;San Lorenzo;Casado;Terciario
Agust�n;48;San Lorenzo;Soltero;Universitario
Luis;67;Gimnasia LP;Soltero;Secundario
Mat�as;22;Velez;Soltero;Secundario
Enrique;67;Estudiantes;Soltero;Terciario
Mauro;66;Hurac�n;Casado;Secundario
Mauro;40;Boca;Casado;Terciario
Daniel;38;River;Soltero;Terciario
Luis;69;Newells;Soltero;Secundario
Nicol�s;68;River;Soltero;Terciario
Nicol�s;33;River;Casado;Terciario
Mauro;31;Racing;Casado;Secundario
Federico;63;Racing;Soltero;Terciario
Enrique;32;Velez;Soltero;Secundario
Mauro;43;Velez;Casado;Secundario
Mart�n;54;Hurac�n;Casado;Secundario
Luis;27;Hurac�n;Soltero;Terciario
Daniel;56;River;Casado;Terciario
Enrique;60;Newells;Soltero;Secundario
Mauro;21;Gimnasia LP;Soltero;Terciario
Alejandro;55;Velez;Soltero;Universitario
Marcelo;61;Gimnasia LP;Soltero;Universitario
Alejo;34;Gimnasia LP;Soltero;Secundario
Daniel;21;Newells;Soltero;Terciario
Nicol�s;30;Newells;Casado;Secundario
Yago;26;Gimnasia LP;Casado;Secundario
Mariano;26;Racing;Soltero;Secundario
Javier;34;Rosario Central;Soltero;Secundario
Adri�n;20;Estudiantes;Soltero;Terciario
Yago;25;Rosario Central;Soltero;Terciario
Adri�n;66;Estudiantes;Soltero;Secundario
Alejo;33;Estudiantes;Casado;Terciario
Nicol�s;34;Independiente;Casado;Universitario
Javier;64;Racing;Casado;Terciario
Alejo;44;Gimnasia LP;Soltero;Secundario
Mariano;28;Rosario Central;Casado;Terciario
Mart�n;58;River;Soltero;Terciario
Adri�n;67;Estudiantes;Soltero;Secundario
Santiago;65;Boca;Soltero;Secundario
Federico;24;Hurac�n;Casado;Secundario
Mariano;48;Rosario Central;Casado;Universitario
Mat�as;30;Independiente;Casado;Terciario
Mariano;23;Racing;Casado;Secundario
Luis;51;River;Casado;Universitario
Enrique;34;San Lorenzo;Casado;Secundario
Federico;51;San Lorenzo;Soltero;Secundario
Alejandro;52;Boca;Casado;Secundario
Fernando;50;Newells;Casado;Terciario
Alejandro;48;Newells;Casado;Secundario
Mauro;18;Independiente;Soltero;Universitario
Nicol�s;63;Hurac�n;Casado;Universitario
Alejo;70;Newells;Soltero;Universitario
Enrique;57;San Lorenzo;Soltero;Terciario
Marcelo;64;Hurac�n;Soltero;Universitario
Daniel;21;Gimnasia LP;Casado;Terciario
Fernando;28;Independiente;Casado;Secundario
Adri�n;37;Hurac�n;Soltero;Secundario
Juan;37;River;Soltero;Universitario
Anibal;47;San Lorenzo;Casado;Terciario
Fernando;67;Gimnasia LP;Soltero;Universitario
Juan;22;Gimnasia LP;Casado;Terciario
Mariano;23;Gimnasia LP;Casado;Universitario
Juan;25;San Lorenzo;Casado;Terciario
Santiago;32;Independiente;Soltero;Terciario
Mauro;57;San Lorenzo;Casado;Secundario
Luis;68;Rosario Central;Soltero;Universitario
Santiago;37;River;Soltero;Secundario
Federico;60;Boca;Soltero;Secundario
Alejandro;25;Estudiantes;Soltero;Secundario
Mauro;60;Racing;Casado;Universitario
Mart�n;69;Velez;Soltero;Secundario
Juan;64;River;Casado;Universitario
Nicol�s;37;Rosario Central;Soltero;Terciario
Federico;35;Estudiantes;Casado;Secundario
Mart�n;35;San Lorenzo;Casado;Terciario
Enrique;28;Hurac�n;Casado;Universitario
Mart�n;20;San Lorenzo;Soltero;Universitario
Federico;58;Estudiantes;Soltero;Terciario
Javier;52;Newells;Casado;Terciario
Mariano;65;Velez;Soltero;Universitario
Yago;43;River;Casado;Terciario
Alejandro;23;Newells;Casado;Terciario
Anibal;50;Gimnasia LP;Casado;Terciario
Anibal;47;Velez;Soltero;Universitario
Enrique;55;Estudiantes;Casado;Terciario
Anibal;59;Independiente;Soltero;Secundario
Mariano;64;Estudiantes;Casado;Universitario
Mariano;32;Independiente;Casado;Universitario
Yago;38;Rosario Central;Casado;Universitario
Luis;22;Velez;Soltero;Terciario
Agust�n;24;Estudiantes;Soltero;Universitario
Nicol�s;68;Boca;Soltero;Universitario
Juan;53;Independiente;Casado;Universitario
Juan;25;Velez;Soltero;Secundario
Anibal;24;Gimnasia LP;Casado;Secundario
Enrique;40;Racing;Soltero;Secundario
Anibal;56;River;Casado;Secundario
Daniel;20;Gimnasia LP;Soltero;Terciario
Alejandro;59;Velez;Soltero;Secundario
Federico;47;Boca;Soltero;Secundario
Federico;30;Estudiantes;Casado;Universitario
Alejandro;52;Newells;Soltero;Universitario
Marcelo;60;Newells;Soltero;Terciario
Mat�as;48;Racing;Casado;Secundario
Alejandro;25;Racing;Soltero;Secundario
Daniel;66;Rosario Central;Soltero;Terciario
Fernando;60;Velez;Casado;Secundario
Mart�n;61;Boca;Soltero;Secundario
Nicol�s;38;Independiente;Casado;Universitario
Mart�n;35;Racing;Casado;Universitario
Adri�n;36;Racing;Casado;Universitario
Yago;51;Newells;Casado;Secundario
Enrique;23;San Lorenzo;Soltero;Secundario
Anibal;19;Racing;Soltero;Terciario
Juan;58;Newells;Soltero;Universitario
Federico;67;San Lorenzo;Soltero;Secundario
Luis;47;Rosario Central;Casado;Secundario
Mart�n;47;San Lorenzo;Casado;Universitario
Yago;25;Racing;Casado;Terciario
Mat�as;62;Estudiantes;Soltero;Universitario
Anibal;64;Rosario Central;Soltero;Universitario
Mauro;53;San Lorenzo;Casado;Secundario
Federico;42;Gimnasia LP;Casado;Secundario
Nicol�s;47;Hurac�n;Casado;Secundario
Mat�as;38;Newells;Soltero;Terciario
Daniel;32;Velez;Casado;Secundario
Marcelo;20;Boca;Casado;Secundario
Juan;30;Boca;Soltero;Terciario
Marcelo;29;Rosario Central;Casado;Terciario
Marcelo;65;San Lorenzo;Casado;Secundario
Anibal;63;Rosario Central;Soltero;Universitario
Fernando;28;Racing;Soltero;Universitario
Alejo;32;Newells;Soltero;Terciario
Enrique;31;Independiente;Soltero;Terciario
Adri�n;42;River;Soltero;Terciario
Anibal;28;Racing;Casado;Secundario
Mart�n;20;Newells;Soltero;Secundario
Adri�n;39;Independiente;Casado;Universitario
Mauro;33;Independiente;Soltero;Universitario
Javier;27;Racing;Casado;Universitario
Santiago;59;Estudiantes;Soltero;Terciario
Alejo;67;Rosario Central;Casado;Secundario
Federico;54;Independiente;Soltero;Universitario
Enrique;69;San Lorenzo;Casado;Terciario
Alejo;41;River;Soltero;Terciario
Santiago;24;Velez;Casado;Secundario
Yago;69;Estudiantes;Casado;Secundario
Enrique;55;Independiente;Soltero;Secundario
Anibal;66;Hurac�n;Casado;Terciario
Juan;60;San Lorenzo;Soltero;Terciario
Santiago;22;Hurac�n;Casado;Terciario
Yago;68;Gimnasia LP;Casado;Secundario
Daniel;38;Newells;Casado;Terciario
Mart�n;46;River;Casado;Terciario
Daniel;31;Estudiantes;Soltero;Universitario
Mat�as;38;Hurac�n;Soltero;Universitario
Mart�n;37;Velez;Casado;Terciario
Santiago;56;Boca;Casado;Secundario
Juan;50;Gimnasia LP;Casado;Terciario
Alejo;67;Boca;Soltero;Secundario
Federico;31;Estudiantes;Casado;Universitario
Anibal;22;Boca;Casado;Universitario
Marcelo;37;Hurac�n;Soltero;Terciario
Marcelo;34;Velez;Casado;Terciario
Marcelo;48;San Lorenzo;Casado;Secundario
Alejo;34;Rosario Central;Casado;Universitario
Marcelo;58;Racing;Casado;Secundario
Luis;46;Racing;Casado;Terciario
Adri�n;67;Gimnasia LP;Casado;Universitario
Enrique;66;Gimnasia LP;Soltero;Secundario
Mat�as;62;Estudiantes;Casado;Universitario
Mart�n;25;Velez;Casado;Terciario
Federico;19;River;Soltero;Universitario
Enrique;51;Hurac�n;Soltero;Universitario
Alejandro;40;Velez;Soltero;Secundario
Mart�n;32;River;Soltero;Terciario
Alejo;41;Estudiantes;Casado;Secundario
Luis;47;Estudiantes;Soltero;Secundario
Mauro;30;Boca;Casado;Universitario
Agust�n;41;San Lorenzo;Casado;Terciario
Fernando;41;Estudiantes;Soltero;Terciario
